name,value,year,lastValue,rank
Empleo Adecuado/Pleno,2737158.47,2007,0,1
Subempleo por insuficiencia de tiempo de trabajo,860315.32,2007,0,3
Subempleo por insuficiencia de ingresos,295556.35,2007,0,5
Empleo no remunerado,557146.38,2007,0,4
Otro Empleo no pleno,1504000.48,2007,0,2
Empleo no clasificado,65155.06,2007,0,6
Empleo Adecuado/Pleno,2858658.62,2008.5,2750595.29,1
Subempleo por insuficiencia de tiempo de trabajo,704515.97,2008.5,846132.34,3
Subempleo por insuficiencia de ingresos,253462.34,2008.5,284566.81,5
Empleo no remunerado,523927.85,2008.5,614171.59,4
Otro Empleo no pleno,1649349.42,2008.5,1688693.48,2
Empleo no clasificado,15480.80,2008.5,61065.48,6
Empleo Adecuado/Pleno,2750595.29,2008,2737158.47,1
Subempleo por insuficiencia de tiempo de trabajo,846132.34,2008,860315.32,3
Subempleo por insuficiencia de ingresos,284566.81,2008,295556.35,5
Empleo no remunerado,614171.59,2008,557146.38,4
Otro Empleo no pleno,1688693.48,2008,1504000.48,2
Empleo no clasificado,61065.48,2008,65155.06,6
Empleo Adecuado/Pleno,2565690.78,2009.5,2858658.62,1
Subempleo por insuficiencia de tiempo de trabajo,764485.84,2009.5,704515.97,3
Subempleo por insuficiencia de ingresos,307129.38,2009.5,253462.34,5
Empleo no remunerado,582203.84,2009.5,523927.85,4
Otro Empleo no pleno,1778578.39,2009.5,1649349.42,2
Empleo no clasificado,127046.91,2009.5,15480.80,6
Empleo Adecuado/Pleno,2565690.78,2009,2858658.62,1
Subempleo por insuficiencia de tiempo de trabajo,764485.84,2009,704515.97,3
Subempleo por insuficiencia de ingresos,307129.38,2009,253462.34,5
Empleo no remunerado,582203.84,2009,523927.85,4
Otro Empleo no pleno,1778578.39,2009,1649349.42,2
Empleo no clasificado,127046.91,2009,15480.80,6
Empleo Adecuado/Pleno,2875532.84,2010.5,2715542.45,1
Subempleo por insuficiencia de tiempo de trabajo,673316.59,2010.5,762700.31,3
Subempleo por insuficiencia de ingresos,215938.60,2010.5,278565.84,5
Empleo no remunerado,528991.48,2010.5,518542.32,4
Otro Empleo no pleno,1765687.56,2010.5,1811892.70,2
Empleo no clasificado,53763.17,2010.5,86897.75,6
Empleo Adecuado/Pleno,2715542.45,2010,2565690.78,1
Subempleo por insuficiencia de tiempo de trabajo,762700.31,2010,764485.84,3
Subempleo por insuficiencia de ingresos,278565.84,2010,307129.38,5
Empleo no remunerado,518542.32,2010,582203.84,4
Otro Empleo no pleno,1811892.70,2010,1778578.39,2
Empleo no clasificado,86897.75,2010,127046.91,6
Empleo Adecuado/Pleno,2996565.82,2011.5,2789524.54,1
Subempleo por insuficiencia de tiempo de trabajo,560164.27,2011.5,582663.28,3
Subempleo por insuficiencia de ingresos,146293.75,2011.5,198861.54,5
Empleo no remunerado,505484.37,2011.5,559468.66,4
Otro Empleo no pleno,2056874.78,2011.5,2032999.26,2
Empleo no clasificado,39450.72,2011.5,61066.41,6
Empleo Adecuado/Pleno,2789524.54,2011,2875532.84,1
Subempleo por insuficiencia de tiempo de trabajo,582663.28,2011,673316.59,3
Subempleo por insuficiencia de ingresos,198861.54,2011,215938.60,5
Empleo no remunerado,559468.66,2011,528991.48,4
Otro Empleo no pleno,2032999.26,2011,1765687.56,2
Empleo no clasificado,61066.41,2011,53763.17,6
Empleo Adecuado/Pleno,3118173.91,2012.5,3104823.92,1
Subempleo por insuficiencia de tiempo de trabajo,485511.92,2012.5,542328.25,4
Subempleo por insuficiencia de ingresos,118378.30,2012.5,122654.04,6
Empleo no remunerado,537430.81,2012.5,658522.61,3
Otro Empleo no pleno,2018581.85,2012.5,2063391.43,2
Empleo no clasificado,146763.18,2012.5,96550.68,5
Empleo Adecuado/Pleno,3104823.92,2012,2996565.82,1
Subempleo por insuficiencia de tiempo de trabajo,542328.25,2012,560164.27,4
Subempleo por insuficiencia de ingresos,122654.04,2012,146293.75,5
Empleo no remunerado,658522.61,2012,505484.37,3
Otro Empleo no pleno,2063391.43,2012,2056874.78,2
Empleo no clasificado,96550.68,2012,39450.72,1
Empleo Adecuado/Pleno,3328047.86,2013.5,2998480.91,1
Subempleo por insuficiencia de tiempo de trabajo,654049.74,2013.5,670945.73,3
Subempleo por insuficiencia de ingresos,155219.30,2013.5,147179.94,5
Empleo no remunerado,493181.50,2013.5,669101.53,4
Otro Empleo no pleno,2019279.21,2013.5,2145528.16,2
Empleo no clasificado,14463.03,2013.5,94558.30,6
Empleo Adecuado/Pleno,2998480.91,2013,3118173.91,1
Subempleo por insuficiencia de tiempo de trabajo,670945.73,2013,485511.92,3
Subempleo por insuficiencia de ingresos,147179.94,2013,118378.30,5
Empleo no remunerado,669101.53,2013,537430.81,4
Otro Empleo no pleno,2145528.16,2013,2018581.85,2
Empleo no clasificado,94558.30,2013,146763.18,6
Empleo Adecuado/Pleno,3545801.86,2014.75,3414022.50,1
Subempleo por insuficiencia de tiempo de trabajo,759650.65,2014.75,732101.06,3
Subempleo por insuficiencia de ingresos,166123.12,2014.75,161603.51,5
Empleo no remunerado,508476.36,2014.75,555947.27,4
